,census_tract_code,year,arrests_B,arrests_W,arrests_total,state,county,ct_pop,ct_white,ct_black,pct_white,pct_black,b_arr_pct_total,w_arr_pct_total,tot_arr_pct_total,tot_arr_pct_co_pop,w_arr_pct_co_pop,b_arr_pct_co_pop,w_arr_pct_w_pop,b_arr_pct_b_pop,rTot,rB,rW,eTot,eB,eW,sir_total,sir_black,sir_white,total_effects,white_effects,black_effects
49,10502,2013,159,224,387,37,129,8272,6302,1181,0.761847195,0.142770793,41.10049083,57.89201757,100,4.678376712,2.707897632,1.922123765,3.554370765,13.46202692,0.03416607,0.016395397,0.017582894,282.7217275,19.46296403,110.9074008,1.368837137,8.169362065,2.019702908,4.69795783,4.68388486,3.57157335
50,10502,2014,125,225,355,37,129,8408,6408,1207,0.762131304,0.143553758,35.22951281,63.3905942,100,4.222119147,2.675991009,1.486661671,3.511181161,10.35539723,0.03416607,0.016395397,0.017582894,287.3683129,19.88924435,112.7711877,1.23534845,6.284803876,1.99519048,0.4247947,0.4601299,0.29641033
51,10502,2015,155,234,393,37,129,8205,5857,1554,0.713833029,0.189396709,39.45560926,59.55227677,100,4.789703965,2.851884803,1.889068994,3.995151184,9.973618171,0.03416607,0.016395397,0.017582894,280.4326008,25.57844716,103.0830128,1.401406252,6.059789283,2.270015142,7.61285307,6.5261134,26.59245731
52,10502,2016,140,257,400,37,129,8472,6161,1422,0.727219075,0.167847025,35.01624594,64.25893527,100,4.721379587,3.033486385,1.652482855,4.171333041,9.84459602,0.03416607,0.016395397,0.017582894,289.5549414,23.41425474,108.4282127,1.381430405,5.979263554,2.37023182,0.83114267,0.90019452,1.47533637
53,10502,2017,190,250,443,37,129,8753,6188,1832,0.706957615,0.209299669,42.9022794,56.4432408,100,5.06106408,2.856130971,2.170659538,4.040012282,10.37061296,0.03416607,0.016395397,0.017582894,299.1556069,30.13636757,108.9029509,1.480834689,6.304674894,2.295621909,4.71517493,6.09268964,2.61903737
54,10502,2018,183,253,441,37,129,8648,6455,1806,0.746415356,0.208834413,41.50986171,57.37927908,100,5.099385992,2.925498086,2.116071738,3.919381574,10.13232933,0.03416607,0.016395397,0.017582894,295.5681696,29.71008724,113.5975837,1.492041584,6.159524154,2.227160048,11.80762257,14.1833964,10.3254954
55,10600,2010,175,202,377,37,129,4061,3733,94,0.919231716,0.023147008,46.43330682,53.59321135,100,9.283199133,4.974021817,4.309177316,5.411052476,185.9723698,0.03416607,0.016395397,0.017582894,138.8484085,1.641167332,65.73694499,2.715191366,106.6314182,3.072853477,0.87193491,0.36691084,1.20551257
56,10600,2011,140,215,355,37,129,3983,3576,117,0.897815717,0.029374843,39.45367502,60.57448606,100,8.912655971,5.397805729,3.514850242,6.012136126,119.5559351,0.03416607,0.016395397,0.017582894,136.1834551,2.018261466,62.97643056,2.606777745,69.36663181,3.413975643,0.28329522,0.79623916,0.60332064
57,10600,2012,132,148,283,37,129,3829,3424,127,0.894228258,0.033167929,46.66195691,52.31367008,100,7.390770677,3.865138022,3.447285263,4.322303671,103.8552321,0.03416607,0.016395397,0.017582894,130.9218804,2.182215437,60.30383061,2.161594374,60.48898644,2.454238786,3.79812818,1.89917383,4.58026729
58,10600,2013,85,191,277,37,129,3997,3548,158,0.887665749,0.039529647,30.71093468,68.96427283,100,6.930024268,4.778464387,2.126541743,5.38316282,53.76344086,0.03416607,0.016395397,0.017582894,136.6617801,2.690472749,62.48410952,2.026901741,31.59296077,3.056777179,8.21503702,7.58431769,2.9761698
59,10600,2014,112,180,294,37,129,3979,3776,92,0.948982156,0.023121387,38.11628698,61.23767426,100,7.388605464,4.523635998,2.814706843,4.766822913,121.606949,0.03416607,0.016395397,0.017582894,136.0467908,1.608376537,66.49300945,2.161021206,69.63543511,2.707051485,1.32556136,1.79770982,1.40055905
60,10600,2015,98,172,270,37,129,3951,3746,176,0.948114401,0.044545685,36.31988153,63.7171418,100,6.833540027,4.353218091,2.480321936,4.591441766,55.65019875,0.03416607,0.016395397,0.017582894,135.0901409,2.985589897,65.96552262,1.998665471,32.82433401,2.607422683,3.3910256,3.57654757,2.17828495
61,10600,2016,109,166,275,37,129,4196,3890,189,0.927073403,0.045042898,39.65830607,60.37804435,100,6.55370463,3.956054431,2.597650199,4.267242487,57.64145955,0.03416607,0.016395397,0.017582894,143.4608279,3.19873006,68.49745942,1.916899575,34.07602328,2.423447547,1.29749343,1.30604873,1.35813448
62,10600,2017,116,188,307,37,129,4134,3785,237,0.915578133,0.057329463,37.80527515,61.25040703,100,7.426041944,4.547543601,2.805931158,4.966843677,48.92450443,0.03416607,0.016395397,0.017582894,141.3425316,3.985709123,66.6512555,2.172028451,29.10398035,2.820652043,1.79831512,1.65763167,1.49671854
63,10600,2018,110,146,256,37,129,4147,3580,229,0.863274656,0.055220641,42.99101913,57.04802811,100,6.172988353,3.52053242,2.652455933,4.078098377,48.0139677,0.03416607,0.016395397,0.017582894,141.7866905,3.854545946,63.04676214,1.80552913,28.53773221,2.315741444,1.08765712,1.09372983,0.96697753
64,10700,2010,57,108,165,37,129,4314,2354,1312,0.545665276,0.304126101,34.58509994,65.47546941,100,3.824667949,2.503419021,1.321248928,4.587740538,4.344181084,0.03416607,0.016395397,0.017582894,147.4924241,21.61076105,41.49013354,1.118701526,2.637574857,2.603028498,0.15654579,0.22054482,0.1004544
65,10700,2011,56,59,115,37,129,4333,2374,1530,0.547888299,0.353104085,48.74022589,51.34665508,100,2.653989061,1.361611779,1.292377282,2.485152268,3.65989151,0.03416607,0.016395397,0.017582894,148.1415794,25.18495763,41.84179143,0.77628442,2.223549502,1.410073469,0.12155496,0.17612238,0.07400285
66,10700,2012,69,76,147,37,129,4100,2401,1373,0.585609756,0.334878049,46.97484704,51.73351462,100,3.585278408,1.853613327,1.682885783,3.165215943,5.025125628,0.03416607,0.016395397,0.017582894,140.1808852,22.61088028,42.31652958,1.048645111,3.051628205,1.795988488,2.87863868,2.7610172,1.76236608
67,10700,2013,68,69,137,37,129,4314,2388,1631,0.553546592,0.378071395,49.67177243,50.40116703,100,3.175633388,1.599406597,1.576226791,2.889326243,4.168965729,0.03416607,0.016395397,0.017582894,147.4924241,26.84089274,42.08795195,0.928861267,2.533447775,1.639424035,1.06487202,1.06408694,2.58816649
68,10700,2014,66,79,145,37,129,4263,2206,1806,0.517475956,0.42364532,45.5547898,54.51412819,100,3.401280758,1.853111585,1.548169173,3.58098001,3.654282709,0.03416607,0.016395397,0.017582894,145.7499546,29.71008724,38.88786516,0.994854513,2.221467728,2.031482049,0.13828438,0.15884166,2.82491179
